"Subject","Metabolite","Sequence","Location","Field","CV_tCr","CV_tissue"
"sub-05","Glc","slaser","ll",3,36.3006418113666,31.4527671730301
"sub-01","Glc","slaser","ul",7,NA,NA
"sub-02","Glc","slaser","ul",7,NA,NA
"sub-03","Glc","slaser","ul",7,NA,NA
"sub-04","Glc","slaser","ul",7,NA,NA
"sub-05","Glc","slaser","ul",7,NA,NA
"sub-01","Glc","slaser","ll",7,NA,NA
"sub-02","Glc","slaser","ll",7,NA,NA
"sub-03","Glc","slaser","ll",7,NA,NA
"sub-04","Glc","slaser","ll",7,NA,NA
"sub-05","Glc","slaser","ll",7,NA,NA
"sub-01","Gln","steam","ul",3,19.2434938031482,19.657803009605
"sub-02","Gln","steam","ul",3,3.00435416270982,5.84039727577606
"sub-03","Gln","steam","ul",3,27.8126154005954,27.4244837748054
"sub-04","Gln","steam","ul",3,24.5138873506975,22.9548664192673
"sub-05","Gln","steam","ul",3,8.58885967592805,11.0346932301159
"sub-01","Gln","steam","ll",3,3.60920544217768,4.52281667512352
"sub-02","Gln","steam","ll",3,36.9974322491568,38.853056522476
"sub-03","Gln","steam","ll",3,35.0078408640841,27.9155663315953
"sub-04","Gln","steam","ll",3,4.19712871953203,2.74331194555565
"sub-05","Gln","steam","ll",3,23.0849415657879,23.2044749981301
"sub-01","Gln","steam","ul",7,1.02739651499639,2.11996734544984
"sub-02","Gln","steam","ul",7,1.2252500962669,0.516186013332793
"sub-03","Gln","steam","ul",7,2.92238521900427,3.22267782510117
"sub-04","Gln","steam","ul",7,23.8438505838812,21.8589270300491
"sub-05","Gln","steam","ul",7,24.4972489751501,25.4160938953301
"sub-01","Gln","steam","ll",7,10.7694429251898,11.0721792095514
"sub-02","Gln","steam","ll",7,2.66125712098773,5.46277252103554
"sub-03","Gln","steam","ll",7,6.74419168425711,3.92556061259153
"sub-04","Gln","steam","ll",7,85.9127773493848,83.8491206089316
"sub-05","Gln","steam","ll",7,19.6180876556328,15.9655641801471
"sub-01","Gln","slaser","ul",3,0.497133178321153,6.13046790393117
"sub-02","Gln","slaser","ul",3,20.142619664842,13.1704041486959
"sub-03","Gln","slaser","ul",3,9.5048903650739,4.29414083966946
"sub-04","Gln","slaser","ul",3,20.6138841797425,5.32495082023944
"sub-05","Gln","slaser","ul",3,17.1515388682489,19.1950889101395
"sub-01","Gln","slaser","ll",3,NA,NA
"sub-02","Gln","slaser","ll",3,0.0885949723065108,13.1303117824477
"sub-03","Gln","slaser","ll",3,NA,NA
"sub-04","Gln","slaser","ll",3,6.2500250436784,5.69949865752086
"sub-05","Gln","slaser","ll",3,NA,NA
"sub-01","Gln","slaser","ul",7,7.62829789475025,7.91308570382772
"sub-02","Gln","slaser","ul",7,7.24764919940431,11.4780653040667
"sub-03","Gln","slaser","ul",7,4.01286295432688,6.77609688708804
"sub-04","Gln","slaser","ul",7,2.69631081330529,3.18542799467917
"sub-05","Gln","slaser","ul",7,6.97030955793702,4.20704696809916
"sub-01","Gln","slaser","ll",7,2.79220821049586,7.20757097279769
"sub-02","Gln","slaser","ll",7,28.3593083788143,27.2534627706787
"sub-03","Gln","slaser","ll",7,8.45222519582384,11.3752182740998
